Area Name,Total/Rural/Urban,Availability of separate kitchen ,Fire-wood,Crop residue,Cowdung cake,"Coal,Lignite,Charcoal",Kerosene,LPG/PNG,Electricity,Biogas,Any other,No cooking,Total
Sub-District - Falta,Total,Does not have kitchen,1141,4220,116,42,12,52,1,0,116,0,5700
Sub-District - Falta,Total,No Cooking,0,0,0,0,0,0,0,0,0,169,169
Sub-District - Falta,Rural,Total,17700,27951,1282,218,179,2869,9,52,1254,151,51665
Sub-District - Falta,Rural,Cooking inside house:,15156,20597,1050,156,161,2694,9,49,1058,0,40930
Sub-District - Falta,Rural,Has Kitchen,11550,10946,625,70,64,2322,6,40,624,0,26247
Sub-District - Falta,Rural,Does not have kitchen,3606,9651,425,86,97,372,3,9,434,0,14683
Sub-District - Falta,Rural,Cooking outside house:,2544,7354,232,62,18,175,0,3,196,0,10584
Sub-District - Falta,Rural,Has Kitchen,1532,3189,118,26,9,125,0,3,86,0,5088
Sub-District - Falta,Rural,Does not have kitchen,1012,4165,114,36,9,50,0,0,110,0,5496
Sub-District - Falta,Rural,No Cooking,0,0,0,0,0,0,0,0,0,151,151
Sub-District - Falta,Urban,Total,2911,1506,31,27,40,840,1,81,126,18,5581
Sub-District - Falta,Urban,Cooking inside house:,2620,1350,23,18,37,825,0,81,117,0,5071
Sub-District - Falta,Urban,Has Kitchen,1851,667,9,13,19,721,0,80,9,0,3369
Sub-District - Falta,Urban,Does not have kitchen,769,683,14,5,18,104,0,1,108,0,1702
Sub-District - Falta,Urban,Cooking outside house:,291,156,8,9,3,15,1,0,9,0,492
Sub-District - Falta,Urban,Has Kitchen,162,101,6,3,0,13,0,0,3,0,288
Sub-District - Falta,Urban,Does not have kitchen,129,55,2,6,3,2,1,0,6,0,204
Sub-District - Falta,Urban,No Cooking,0,0,0,0,0,0,0,0,0,18,18
Hasimnagar (CT),Urban,Total,779,294,7,3,12,149,0,0,4,4,1252
Hasimnagar (CT),Urban,Cooking inside house:,761,211,2,1,10,146,0,0,0,0,1131
Hasimnagar (CT),Urban,Has Kitchen,660,91,2,1,6,139,0,0,0,0,899
Hasimnagar (CT),Urban,Does not have kitchen,101,120,0,0,4,7,0,0,0,0,232
Hasimnagar (CT),Urban,Cooking outside house:,18,83,5,2,2,3,0,0,4,0,117
Hasimnagar (CT),Urban,Has Kitchen,16,77,5,1,0,3,0,0,3,0,105
Hasimnagar (CT),Urban,Does not have kitchen,2,6,0,1,2,0,0,0,1,0,12
